Date;FlowCode;ProductCode;LocationCode;Volume
29/05/2015;6;1;7;21862
05/06/2015;6;1;7;22830
12/06/2015;6;1;7;23555
19/06/2015;6;1;7;25060
26/06/2015;6;1;7;26038
03/07/2015;6;1;7;27797
10/07/2015;6;1;7;29509
17/07/2015;6;1;7;30107
24/07/2015;6;1;7;30997
31/07/2015;6;1;7;31600
07/08/2015;6;1;7;33624
14/08/2015;6;1;7;33378
21/08/2015;6;1;7;34882
28/08/2015;6;1;7;35744
04/09/2015;6;1;7;36554
11/09/2015;6;1;7;36355
18/09/2015;6;1;7;36579
25/09/2015;6;1;7;36157
02/10/2015;6;1;7;36391
09/10/2015;6;1;7;37143
16/10/2015;6;1;7;38392
23/10/2015;6;1;7;36517
30/10/2015;6;1;7;36929
06/11/2015;6;1;7;37290
13/11/2015;6;1;7;37296
20/11/2015;6;1;7;37158
27/11/2015;6;1;7;38759
04/12/2015;6;1;7;38250
11/12/2015;6;1;7;38981
18/12/2015;6;1;7;38388
25/12/2015;6;1;7;38786
01/01/2016;6;1;7;38862
08/01/2016;6;1;7;39094
15/01/2016;6;1;7;39905
22/01/2016;6;1;7;37828
29/01/2016;6;1;7;36603
05/02/2016;6;1;7;37742
12/02/2016;6;1;7;36393
19/02/2016;6;1;7;35823
26/02/2016;6;1;7;36020
04/03/2016;6;1;7;35599
11/03/2016;6;1;7;34407
18/03/2016;6;1;7;34345
25/03/2016;6;1;7;33428
01/04/2016;6;1;7;31822
08/04/2016;6;1;7;30956
15/04/2016;6;1;7;31929
22/04/2016;6;1;7;31468
29/04/2016;6;1;7;32172
06/05/2016;6;1;7;33497
13/05/2016;6;1;7;32550
20/05/2016;6;1;7;33034
27/05/2016;6;1;7;32676
03/06/2016;6;1;7;31813
10/06/2016;6;1;7;33557
17/06/2016;6;1;7;34685
24/06/2016;6;1;7;33623
01/07/2016;6;1;7;34306
08/07/2016;6;1;7;35240
15/07/2016;6;1;7;35214
22/07/2016;6;1;7;35871
29/07/2016;6;1;7;34602
05/08/2016;6;1;7;35869
12/08/2016;6;1;7;37219
19/08/2016;6;1;7;37396
26/08/2016;6;1;7;37908
02/09/2016;6;1;7;37951
09/09/2016;6;1;7;39706
16/09/2016;6;1;7;39814
23/09/2016;6;1;7;40131
30/09/2016;6;1;7;39407
07/10/2016;6;1;7;40330
14/10/2016;6;1;7;40422
21/10/2016;6;1;7;39313
28/10/2016;6;1;7;40033
04/11/2016;6;1;7;39994
11/11/2016;6;1;7;39737
18/11/2016;6;1;7;38844
25/11/2016;6;1;7;40983
02/12/2016;6;1;7;40905
09/12/2016;6;1;7;41268
16/12/2016;6;1;7;41201
23/12/2016;6;1;7;41172
30/12/2016;6;1;7;41113
06/01/2017;6;1;7;41244
13/01/2017;6;1;7;39979
20/01/2017;6;1;7;40055
27/01/2017;6;1;7;41645
03/02/2017;6;1;7;40980
10/02/2017;6;1;7;39059
17/02/2017;6;1;7;38341
24/02/2017;6;1;7;38288
03/03/2017;6;1;7;36594
10/03/2017;6;1;7;36098
17/03/2017;6;1;7;34802
24/03/2017;6;1;7;32963
31/03/2017;6;1;7;32523
07/04/2017;6;1;7;32050
14/04/2017;6;1;7;31015
21/04/2017;6;1;7;32631
28/04/2017;6;1;7;33107
05/05/2017;6;1;7;33861
12/05/2017;6;1;7;32961
19/05/2017;6;1;7;33478
26/05/2017;6;1;7;33052
02/06/2017;6;1;7;33361
09/06/2017;6;1;7;32697
16/06/2017;6;1;7;33909
23/06/2017;6;1;7;33491
30/06/2017;6;1;7;32727
07/07/2017;6;1;7;34525
14/07/2017;6;1;7;33206
21/07/2017;6;1;7;32339
28/07/2017;6;1;7;32734
04/08/2017;6;1;7;32791
11/08/2017;6;1;7;33000
18/08/2017;6;1;7;33296
25/08/2017;6;1;7;32714
01/09/2017;6;1;7;31229
08/09/2017;6;1;7;28649
15/09/2017;6;1;7;27417
22/09/2017;6;1;7;27257
29/09/2017;6;1;7;27086
06/10/2017;6;1;7;26812
13/10/2017;6;1;7;26037
20/10/2017;6;1;7;26111
27/10/2017;6;1;7;26474
03/11/2017;6;1;7;26953
10/11/2017;6;1;7;27780
17/11/2017;6;1;7;29184
24/11/2017;6;1;7;29581
01/12/2017;6;1;7;29006
08/12/2017;6;1;7;29576
15/12/2017;6;1;7;29848
22/12/2017;6;1;7;29093
29/12/2017;6;1;7;30724
05/01/2018;6;1;7;29168
12/01/2018;6;1;7;26498
